set,lvl,end,start,diff,stimulus,ptcp,accuracy
1,33,100847,100390,3.43609022556391,2,5,0
1,34,105290,104846,3.33834586466165,2,5,0
2,0,111136,110682,3.41353383458647,1,5,0
2,1,113435,112998,3.28571428571429,3,5,1
2,2,115783,115351,3.24812030075188,3,5,0
2,3,118671,118212,3.45112781954887,2,5,0
2,4,121309,120880,3.22556390977444,1,5,0
2,6,127545,127082,3.4812030075188,3,5,0
2,7,129832,129316,3.8796992481203,3,5,0
2,8,132372,131936,3.2781954887218,1,5,0
2,9,134491,134047,3.33834586466165,3,5,0
2,10,136552,136114,3.29323308270677,2,5,0
2,11,138646,138204,3.32330827067669,1,5,0
2,12,140859,140283,4.33082706766917,2,5,0
2,13,143116,142680,3.2781954887218,2,5,0
2,14,145308,144861,3.3609022556391,2,5,1
2,15,147387,146952,3.27067669172932,3,5,0
2,16,149606,149182,3.18796992481203,1,5,0
2,17,151824,151385,3.30075187969925,1,5,0
2,18,154046,153618,3.21804511278195,1,5,0
2,20,159426,158982,3.33834586466165,1,5,0
2,21,162257,161828,3.22556390977444,2,5,0
2,22,164524,164084,3.30827067669173,3,5,0
2,23,166767,166329,3.29323308270677,2,5,0
2,24,168825,168391,3.26315789473684,2,5,0
2,25,171130,170694,3.2781954887218,2,5,0
2,26,173486,173026,3.45864661654135,3,5,0
2,27,175729,175294,3.27067669172932,1,5,0
2,28,178098,177654,3.33834586466165,2,5,0
2,29,180644,180203,3.31578947368421,3,5,0
2,30,182749,182309,3.30827067669173,2,5,0
2,31,185789,185356,3.25563909774436,1,5,0
2,32,188084,187651,3.25563909774436,3,5,0
2,33,190429,189989,3.30827067669173,2,5,0
3,0,201390,200956,3.26315789473684,2,5,0
3,1,203995,203563,3.24812030075188,3,5,0
3,2,206893,206459,3.26315789473684,1,5,0
3,3,209086,208647,3.30075187969925,1,5,0
3,4,211536,211102,3.26315789473684,1,5,0
3,5,213726,213289,3.28571428571429,1,5,0
3,6,216617,216180,3.28571428571429,1,5,0
3,8,224810,224380,3.23308270676692,3,5,0
3,9,227076,226639,3.28571428571429,2,5,0
3,10,229464,229010,3.41353383458647,2,5,0
3,11,234750,234277,3.55639097744361,1,5,1
3,12,236961,236522,3.30075187969925,3,5,0
3,14,243778,243347,3.2406015037594,1,5,0
3,15,245968,245538,3.23308270676692,3,5,0
3,16,248222,247790,3.24812030075188,1,5,0
3,17,250415,249980,3.27067669172932,3,5,0
3,18,252648,252215,3.25563909774436,3,5,0
3,19,254960,254513,3.3609022556391,3,5,0
3,20,257086,256648,3.29323308270677,2,5,0
3,21,259146,258718,3.21804511278195,2,5,0
3,22,261290,260857,3.25563909774436,2,5,0
3,23,263510,263075,3.27067669172932,3,5,0
3,24,265653,265227,3.20300751879699,2,5,0
3,25,268063,267622,3.31578947368421,1,5,0
3,26,270382,269954,3.21804511278195,3,5,0
3,27,272563,272114,3.37593984962406,2,5,0
3,28,274690,274260,3.23308270676692,3,5,0
3,29,276899,276464,3.27067669172932,3,5,0
3,30,279120,278681,3.30075187969925,1,5,0
3,31,281404,280975,3.22556390977444,1,5,0
3,32,283465,283037,3.21804511278195,2,5,0
3,33,285704,285274,3.23308270676692,2,5,0
3,34,287891,287454,3.28571428571429,2,5,0
1,0,3011,2283,5.47368421052632,1,6,0
1,2,9251,8678,4.30827067669173,2,6,0
1,3,12130,11685,3.34586466165414,1,6,0
1,4,15280,14750,3.98496240601504,3,6,0
1,5,18887,18431,3.42857142857143,2,6,0
1,6,22865,22365,3.7593984962406,3,6,0
1,7,26333,25841,3.69924812030075,2,6,1
